t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1462667445.353031,-4409046.270454,1467033.683267,4354752.243424,-106.967117,-322.328614,0.285657
1462667535.353031,-4418578.048586,1437992.725325,4354777.709013,-104.849424,-323.023685,0.280231
1462667625.353031,-4427919.030435,1408889.836886,4354802.685757,-102.727215,-323.704843,0.274794
1462667715.353031,-4437068.813671,1379726.271455,4354827.172581,-100.600581,-324.372058,0.269344
1462667805.353031,-4446027.004198,1350503.285153,4354851.168430,-98.469615,-325.025302,0.263883
1462667895.353031,-4454793.216173,1321222.136659,4354874.672271,-96.334407,-325.664546,0.258411
1462667985.353031,-4463367.072022,1291884.087156,4354897.683091,-94.195049,-326.289764,0.252927
1462668075.353031,-4471748.202454,1262490.400282,4354920.199899,-92.051635,-326.900928,0.247433
1462668165.353031,-4479936.246484,1233042.342066,4354942.221725,-89.904256,-327.498012,0.241928
1462668255.353031,-4487930.851437,1203541.180882,4354963.747620,-87.753004,-328.080990,0.236412
1462668345.353031,-4495731.672975,1173988.187392,4354984.776658,-85.597973,-328.649836,0.230887
1462668435.353031,-4503338.375103,1144384.634488,4355005.307932,-83.439255,-329.204528,0.225351
1462668525.353031,-4510750.630191,1114731.797241,4355025.340558,-81.276943,-329.745040,0.219806
1462668615.353031,-4517968.118979,1085030.952844,4355044.873673,-79.111130,-330.271350,0.214251
1462668705.353031,-4524990.530599,1055283.380559,4355063.906437,-76.941910,-330.783434,0.208687
1462668795.353031,-4531817.562587,1025490.361661,4355082.438028,-74.769376,-331.281271,0.203114
1462668885.353031,-4538448.920889,995653.179380,4355100.467649,-72.593622,-331.764839,0.197532
1462668975.353031,-4544884.319885,965773.118850,4355117.994523,-70.414741,-332.234117,0.191942
1462669065.353031,-4551123.482391,935851.467051,4355135.017895,-68.232827,-332.689086,0.186343
1462669155.353031,-4557166.139676,905889.512756,4355151.537032,-66.047974,-333.129725,0.180737
1462669245.353031,-4563012.031475,875888.546471,4355167.551222,-63.860276,-333.556016,0.175122
1462669335.353031,-4568660.905995,845849.860386,4355183.059776,-61.669827,-333.967940,0.169500
1462669425.353031,-4574112.519931,815774.748313,4355198.062026,-59.476723,-334.365479,0.163871
1462669515.353031,-4579366.638473,785664.505633,4355212.557325,-57.281057,-334.748617,0.158235
1462669605.353031,-4584423.035318,755520.429241,4355226.545048,-55.082923,-335.117337,0.152592
1462669695.353031,-4589281.492679,725343.817489,4355240.024594,-52.882417,-335.471623,0.146942
1462669785.353031,-4593941.801296,695135.970131,4355252.995382,-50.679633,-335.811459,0.141286
1462669875.353031,-4598403.760441,664898.188265,4355265.456852,-48.474667,-336.136832,0.135624
1462669965.353031,-4602667.177930,634631.774280,4355277.408469,-46.267612,-336.447726,0.129956
1462670055.353031,-4606731.870133,604338.031796,4355288.849717,-44.058565,-336.744129,0.124283
1462670145.353031,-4610597.661975,574018.265612,4355299.780104,-41.847620,-337.026029,0.118604
1462670235.353031,-4614264.386953,543673.781648,4355310.199159,-39.634873,-337.293411,0.112920
1462670325.353031,-4617731.887133,513305.886887,4355320.106432,-37.420418,-337.546267,0.107231
1462670415.353031,-4621000.013165,482915.889321,4355329.501497,-35.204352,-337.784583,0.101538
1462670505.353031,-4624068.624287,452505.097894,4355338.383950,-32.986770,-338.008351,0.095840
1462670595.353031,-4626937.588328,422074.822447,4355346.753408,-30.767766,-338.217560,0.090138
1462670685.353031,-4629606.781717,391626.373659,4355354.609510,-28.547438,-338.412201,0.084432
1462670775.353031,-4632076.089489,361161.062991,4355361.951917,-26.325880,-338.592267,0.078723
1462670865.353031,-4634345.405286,330680.202632,4355368.780314,-24.103187,-338.757749,0.073010
1462670955.353031,-4636414.631366,300185.105438,4355375.094407,-21.879457,-338.908640,0.067294
1462671045.353031,-4638283.678602,269677.084882,4355380.893922,-19.654785,-339.044934,0.061575
1462671135.353031,-4639952.466494,239157.454991,4355386.178612,-17.429266,-339.166624,0.055853
1462671225.353031,-4641420.923163,208627.530292,4355390.948247,-15.202996,-339.273706,0.050129
1462671315.353031,-4642688.985361,178088.625758,4355395.202622,-12.976071,-339.366175,0.044403
1462671405.353031,-4643756.598471,147542.056744,4355398.941555,-10.748587,-339.444027,0.038675
1462671495.353031,-4644623.716508,116989.138941,4355402.164883,-8.520641,-339.507259,0.032946
1462671585.353031,-4645290.302124,86431.188308,4355404.872469,-6.292327,-339.555868,0.027214
1462671675.353031,-4645756.326609,55869.521025,4355407.064195,-4.063743,-339.589851,0.021482
1462671765.353031,-4646021.769890,25305.453429,4355408.739967,-1.834983,-339.609208,0.015749
1462671855.353031,-4646086.620534,-5259.698037,4355409.899713,0.393855,-339.613937,0.010015
1462671945.353031,-4645950.875748,-35824.616885,4355410.543382,2.622677,-339.604038,0.004281
1462672035.353031,-4645614.541379,-66387.986638,4355410.670948,4.851386,-339.579513,-0.001454
1462672125.353031,-4645077.631913,-96948.490883,4355410.282404,7.079886,-339.540361,-0.007188
1462672215.353031,-4644340.170475,-127504.813332,4355409.377767,9.308080,-339.486584,-0.012922
1462672305.353031,-4643402.188829,-158055.637877,4355407.957076,11.535874,-339.418185,-0.018656
1462672395.353031,-4642263.727376,-188599.648647,4355406.020392,13.763171,-339.335167,-0.024389
1462672485.353031,-4640924.835150,-219135.530064,4355403.567799,15.989875,-339.237534,-0.030120
1462672575.353031,-4639385.569820,-249661.966900,4355400.599402,18.215891,-339.125289,-0.035851
1462672665.353031,-4637645.997685,-280177.644334,4355397.115329,20.441122,-338.998437,-0.041580
1462672755.353031,-4635706.193670,-310681.248010,4355393.115730,22.665472,-338.856984,-0.047307
1462672845.353031,-4633566.241326,-341171.464089,4355388.600778,24.888847,-338.700936,-0.053032
1462672935.353031,-4631226.232823,-371646.979310,4355383.570666,27.111149,-338.530299,-0.058755
1462673025.353031,-4628686.268950,-402106.481047,4355378.025611,29.332283,-338.345082,-0.064475
1462673115.353031,-4625946.459107,-432548.657361,4355371.965852,31.552154,-338.145291,-0.070192
1462673205.353031,-4623006.921302,-462972.197060,4355365.391651,33.770667,-337.930936,-0.075907
1462673295.353031,-4619867.782144,-493375.789757,4355358.303289,35.987724,-337.702026,-0.081618
1462673385.353031,-4616529.176843,-523758.125919,4355350.701073,38.203232,-337.458570,-0.087326
