t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1461490594.934000,4175456.809470,924296.712627,4716766.933367,-67.388913,303.594575,0.162829
1461490599.934000,4175119.588203,925814.623971,4716767.748223,-67.499600,303.569985,0.163114
1461490604.934000,4174781.813521,927332.412261,4716768.564504,-67.610279,303.545354,0.163399
1461490609.934000,4174443.485469,928850.077295,4716769.382211,-67.720948,303.520682,0.163684
1461490614.934000,4174104.604092,930367.618872,4716770.201343,-67.831609,303.495971,0.163970
1461490619.934000,4173765.169435,931885.036789,4716771.021901,-67.942260,303.471219,0.164255
1461490624.934000,4173425.181544,933402.330846,4716771.843884,-68.052903,303.446426,0.164540
1461490629.934000,4173084.640462,934919.500839,4716772.667293,-68.163536,303.421593,0.164825
1461490634.934000,4172743.546236,936436.546568,4716773.492126,-68.274161,303.396720,0.165110
1461490639.934000,4172401.898911,937953.467831,4716774.318385,-68.384776,303.371807,0.165395
1461490644.934000,4172059.698532,939470.264426,4716775.146069,-68.495382,303.346853,0.165680
1461490649.934000,4171716.945145,940986.936152,4716775.975177,-68.605979,303.321859,0.165965
1461490654.934000,4171373.638795,942503.482807,4716776.805710,-68.716567,303.296825,0.166250
1461490659.934000,4171029.779529,944019.904189,4716777.637668,-68.827146,303.271750,0.166535
1461490664.934000,4170685.367391,945536.200097,4716778.471051,-68.937716,303.246635,0.166819
1461490669.934000,4170340.402427,947052.370329,4716779.305857,-69.048276,303.221480,0.167104
1461490674.934000,4169994.884684,948568.414684,4716780.142088,-69.158827,303.196284,0.167389
1461490679.934000,4169648.814208,950084.332959,4716780.979743,-69.269370,303.171048,0.167674
1461490684.934000,4169302.191043,951600.124955,4716781.818823,-69.379902,303.145772,0.167959
1461490689.934000,4168955.015237,953115.790468,4716782.659326,-69.490426,303.120456,0.168244
1461490694.934000,4168607.286836,954631.329298,4716783.501253,-69.600941,303.095099,0.168528
1461490699.934000,4168259.005885,956146.741243,4716784.344604,-69.711446,303.069702,0.168813
1461490704.934000,4167910.172431,957662.026102,4716785.189378,-69.821942,303.044264,0.169098
1461490709.934000,4167560.786521,959177.183673,4716786.035576,-69.932429,303.018786,0.169382
1461490714.934000,4167210.848200,960692.213755,4716786.883197,-70.042906,302.993269,0.169667
1461490719.934000,4166860.357516,962207.116146,4716787.732242,-70.153374,302.967710,0.169952
1461490724.934000,4166509.314515,963721.890645,4716788.582709,-70.263833,302.942112,0.170236
1461490729.934000,4166157.719244,965236.537051,4716789.434600,-70.374282,302.916473,0.170521
1461490734.934000,4165805.571749,966751.055162,4716790.287914,-70.484722,302.890794,0.170805
1461490739.934000,4165452.872077,968265.444778,4716791.142650,-70.595153,302.865074,0.171090
1461490744.934000,4165099.620275,969779.705695,4716791.998809,-70.705574,302.839315,0.171375
1461490749.934000,4164745.816391,971293.837714,4716792.856391,-70.815986,302.813515,0.171659
1461490754.934000,4164391.460470,972807.840633,4716793.715395,-70.926388,302.787675,0.171944
1461490759.934000,4164036.552561,974321.714251,4716794.575822,-71.036782,302.761795,0.172228
1461490764.934000,4163681.092710,975835.458367,4716795.437671,-71.147165,302.735874,0.172512
1461490769.934000,4163325.080965,977349.072778,4716796.300942,-71.257539,302.709913,0.172797
1461490774.934000,4162968.517372,978862.557285,4716797.165635,-71.367904,302.683912,0.173081
1461490779.934000,4162611.401980,980375.911686,4716798.031750,-71.478259,302.657871,0.173366
1461490784.934000,4162253.734836,981889.135779,4716798.899286,-71.588605,302.631789,0.173650
1461490789.934000,4161895.515988,983402.229364,4716799.768245,-71.698941,302.605667,0.173934
1461490794.934000,4161536.745482,984915.192239,4716800.638625,-71.809268,302.579505,0.174219
1461490799.934000,4161177.423367,986428.024203,4716801.510426,-71.919585,302.553303,0.174503
1461490804.934000,4160817.549690,987940.725056,4716802.383649,-72.029892,302.527060,0.174787
1461490809.934000,4160457.124500,989453.294596,4716803.258293,-72.140190,302.500778,0.175071
1461490814.934000,4160096.147844,990965.732621,4716804.134358,-72.250479,302.474455,0.175356
1461490819.934000,4159734.619770,992478.038932,4716805.011844,-72.360757,302.448092,0.175640
1461490824.934000,4159372.540326,993990.213326,4716805.890750,-72.471026,302.421688,0.175924
1461490829.934000,4159009.909561,995502.255604,4716806.771078,-72.581286,302.395245,0.176208
1461490834.934000,4158646.727523,997014.165563,4716807.652826,-72.691536,302.368761,0.176492
