t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1454839033.880000,2252772.392999,-3633618.007065,4717217.760808,264.978562,163.396761,-0.681541
1454839038.880000,2254097.136957,-3632800.781754,4717214.353414,264.918969,163.493363,-0.681392
1454839043.880000,2255421.582864,-3631983.073487,4717210.946764,264.859341,163.589943,-0.681243
1454839048.880000,2256745.730542,-3631164.882372,4717207.540857,264.799678,163.686502,-0.681095
1454839053.880000,2258069.579816,-3630346.208517,4717204.135695,264.739979,163.783039,-0.680946
1454839058.880000,2259393.130510,-3629527.052033,4717200.731279,264.680246,163.879554,-0.680797
1454839063.880000,2260716.382448,-3628707.413027,4717197.327607,264.620477,163.976047,-0.680647
1454839068.880000,2262039.335453,-3627887.291609,4717193.924682,264.560673,164.072519,-0.680498
1454839073.880000,2263361.989350,-3627066.687888,4717190.522502,264.500834,164.168969,-0.680349
1454839078.880000,2264684.343964,-3626245.601972,4717187.121070,264.440959,164.265397,-0.680199
1454839083.880000,2266006.399118,-3625424.033972,4717183.720385,264.381050,164.361803,-0.680050
1454839088.880000,2267328.154637,-3624601.983995,4717180.320448,264.321105,164.458187,-0.679900
1454839093.880000,2268649.610344,-3623779.452152,4717176.921259,264.261125,164.554549,-0.679751
1454839098.880000,2269970.766065,-3622956.438552,4717173.522818,264.201110,164.650890,-0.679601
1454839103.880000,2271291.621624,-3622132.943304,4717170.125127,264.141060,164.747208,-0.679451
1454839108.880000,2272612.176844,-3621308.966517,4717166.728185,264.080975,164.843505,-0.679301
1454839113.880000,2273932.431551,-3620484.508302,4717163.331993,264.020855,164.939780,-0.679151
1454839118.880000,2275252.385569,-3619659.568767,4717159.936551,263.960700,165.036033,-0.679001
1454839123.880000,2276572.038722,-3618834.148023,4717156.541860,263.900509,165.132264,-0.678851
1454839128.880000,2277891.390836,-3618008.246179,4717153.147921,263.840284,165.228473,-0.678700
1454839133.880000,2279210.441734,-3617181.863345,4717149.754734,263.780023,165.324660,-0.678550
1454839138.880000,2280529.191242,-3616354.999631,4717146.362298,263.719727,165.420825,-0.678399
1454839143.880000,2281847.639183,-3615527.655147,4717142.970616,263.659397,165.516968,-0.678249
1454839148.880000,2283165.785384,-3614699.830003,4717139.579686,263.599031,165.613089,-0.678098
1454839153.880000,2284483.629667,-3613871.524308,4717136.189510,263.538630,165.709188,-0.677947
1454839158.880000,2285801.171859,-3613042.738173,4717132.800089,263.478194,165.805265,-0.677797
1454839163.880000,2287118.411785,-3612213.471708,4717129.411421,263.417723,165.901320,-0.677646
1454839168.880000,2288435.349268,-3611383.725024,4717126.023509,263.357217,165.997353,-0.677495
1454839173.880000,2289751.984134,-3610553.498230,4717122.636352,263.296676,166.093364,-0.677343
1454839178.880000,2291068.316209,-3609722.791437,4717119.249951,263.236101,166.189352,-0.677192
1454839183.880000,2292384.345316,-3608891.604756,4717115.864306,263.175490,166.285319,-0.677041
1454839188.880000,2293700.071281,-3608059.938296,4717112.479418,263.114844,166.381264,-0.676889
1454839193.880000,2295015.493930,-3607227.792169,4717109.095287,263.054163,166.477186,-0.676738
1454839198.880000,2296330.613086,-3606395.166485,4717105.711913,262.993447,166.573086,-0.676586
1454839203.880000,2297645.428576,-3605562.061355,4717102.329298,262.932696,166.668965,-0.676435
1454839208.880000,2298959.940225,-3604728.476889,4717098.947441,262.871911,166.764821,-0.676283
1454839213.880000,2300274.147858,-3603894.413199,4717095.566344,262.811090,166.860654,-0.676131
1454839218.880000,2301588.051299,-3603059.870395,4717092.186005,262.750234,166.956466,-0.675979
1454839223.880000,2302901.650376,-3602224.848588,4717088.806427,262.689344,167.052256,-0.675827
1454839228.880000,2304214.944912,-3601389.347890,4717085.427609,262.628418,167.148023,-0.675675
1454839233.880000,2305527.934733,-3600553.368410,4717082.049552,262.567458,167.243768,-0.675523
1454839238.880000,2306840.619665,-3599716.910261,4717078.672256,262.506462,167.339491,-0.675371
1454839243.880000,2308152.999534,-3598879.973554,4717075.295721,262.445432,167.435191,-0.675218
1454839248.880000,2309465.074164,-3598042.558399,4717071.919949,262.384367,167.530870,-0.675066
1454839253.880000,2310776.843382,-3597204.664909,4717068.544940,262.323267,167.626526,-0.674913
1454839258.880000,2312088.307012,-3596366.293194,4717065.170693,262.262132,167.722159,-0.674760
1454839263.880000,2313399.464881,-3595527.443366,4717061.797210,262.200963,167.817771,-0.674608
1454839268.880000,2314710.316815,-3594688.115537,4717058.424491,262.139758,167.913360,-0.674455
1454839273.880000,2316020.862638,-3593848.309818,4717055.052536,262.078519,168.008927,-0.674302
1454839278.880000,2317331.102178,-3593008.026320,4717051.681346,262.017244,168.104471,-0.674149
1454839283.880000,2318641.035259,-3592167.265156,4717048.310921,261.955935,168.199993,-0.673996
1454839288.880000,2319950.661707,-3591326.026437,4717044.941262,261.894591,168.295493,-0.673843
1454839293.880000,2321259.981349,-3590484.310275,4717041.572369,261.833213,168.390971,-0.673689
1454839298.880000,2322568.994011,-3589642.116782,4717038.204243,261.771799,168.486426,-0.673536
1454839303.880000,2323877.699518,-3588799.446070,4717034.836884,261.710351,168.581858,-0.673383
1454839308.880000,2325186.097696,-3587956.298251,4717031.470293,261.648868,168.677268,-0.673229
1454839313.880000,2326494.188371,-3587112.673437,4717028.104469,261.587350,168.772656,-0.673075
1454839318.880000,2327801.971370,-3586268.571740,4717024.739414,261.525797,168.868022,-0.672922
1454839323.880000,2329109.446519,-3585423.993273,4717021.375127,261.464210,168.963364,-0.672768
1454839328.880000,2330416.613644,-3584578.938147,4717018.011610,261.402588,169.058685,-0.672614
1454839333.880000,2331723.472571,-3583733.406475,4717014.648863,261.340931,169.153983,-0.672460
1454839338.880000,2333030.023126,-3582887.398369,4717011.286886,261.279239,169.249258,-0.672306
1454839343.880000,2334336.265136,-3582040.913943,4717007.925679,261.217512,169.344511,-0.672152
1454839348.880000,2335642.198427,-3581193.953307,4717004.565244,261.155751,169.439742,-0.671997
1454839353.880000,2336947.822825,-3580346.516576,4717001.205580,261.093955,169.534950,-0.671843
1454839358.880000,2338253.138158,-3579498.603861,4716997.846688,261.032125,169.630135,-0.671689
1454839363.880000,2339558.144250,-3578650.215276,4716994.488569,260.970260,169.725298,-0.671534
1454839368.880000,2340862.840930,-3577801.350933,4716991.131222,260.908360,169.820438,-0.671379
1454839373.880000,2342167.228023,-3576952.010944,4716987.774649,260.846425,169.915556,-0.671225
1454839378.880000,2343471.305356,-3576102.195424,4716984.418849,260.784456,170.010651,-0.671070
1454839383.880000,2344775.072755,-3575251.904485,4716981.063824,260.722452,170.105724,-0.670915
1454839388.880000,2346078.530048,-3574401.138239,4716977.709573,260.660413,170.200774,-0.670760
1454839393.880000,2347381.677061,-3573549.896800,4716974.356098,260.598340,170.295801,-0.670605
1454839398.880000,2348684.513621,-3572698.180282,4716971.003398,260.536232,170.390805,-0.670450
1454839403.880000,2349987.039554,-3571845.988797,4716967.651474,260.474089,170.485787,-0.670294
1454839408.880000,2351289.254688,-3570993.322458,4716964.300327,260.411912,170.580747,-0.670139
1454839413.880000,2352591.158849,-3570140.181380,4716960.949956,260.349700,170.675683,-0.669984
1454839418.880000,2353892.751865,-3569286.565675,4716957.600363,260.287454,170.770597,-0.669828
1454839423.880000,2355194.033562,-3568432.475457,4716954.251547,260.225173,170.865489,-0.669673
1454839428.880000,2356495.003767,-3567577.910839,4716950.903510,260.162857,170.960357,-0.669517
1454839433.880000,2357795.662307,-3566722.871936,4716947.556251,260.100507,171.055203,-0.669361
1454839438.880000,2359096.009010,-3565867.358860,4716944.209772,260.038122,171.150026,-0.669205
1454839443.880000,2360396.043702,-3565011.371725,4716940.864072,259.975702,171.244826,-0.669049
1454839448.880000,2361695.766212,-3564154.910646,4716937.519152,259.913249,171.339604,-0.668893
1454839453.880000,2362995.176365,-3563297.975736,4716934.175013,259.850760,171.434359,-0.668737
1454839458.880000,2364294.273989,-3562440.567109,4716930.831654,259.788237,171.529091,-0.668581
1454839463.880000,2365593.058912,-3561582.684879,4716927.489077,259.725679,171.623800,-0.668425
1454839468.880000,2366891.530960,-3560724.329160,4716924.147281,259.663087,171.718486,-0.668268
1454839473.880000,2368189.689962,-3559865.500066,4716920.806268,259.600461,171.813150,-0.668112
1454839478.880000,2369487.535744,-3559006.197712,4716917.466038,259.537800,171.907791,-0.667955
1454839483.880000,2370785.068135,-3558146.422211,4716914.126590,259.475104,172.002409,-0.667798
1454839488.880000,2372082.286961,-3557286.173678,4716910.787926,259.412374,172.097004,-0.667642
1454839493.880000,2373379.192051,-3556425.452227,4716907.450046,259.349609,172.191576,-0.667485
1454839498.880000,2374675.783231,-3555564.257972,4716904.112951,259.286810,172.286125,-0.667328
1454839503.880000,2375972.060330,-3554702.591029,4716900.776640,259.223977,172.380651,-0.667171
1454839508.880000,2377268.023174,-3553840.451512,4716897.441115,259.161109,172.475155,-0.667014
1454839513.880000,2378563.671593,-3552977.839535,4716894.106376,259.098206,172.569635,-0.666856
1454839518.880000,2379859.005413,-3552114.755212,4716890.772423,259.035269,172.664093,-0.666699
1454839523.880000,2381154.024463,-3551251.198660,4716887.439256,258.972298,172.758527,-0.666542
1454839528.880000,2382448.728569,-3550387.169992,4716884.106877,258.909292,172.852939,-0.666384
1454839533.880000,2383743.117561,-3549522.669323,4716880.775285,258.846252,172.947327,-0.666227
1454839538.880000,2385037.191266,-3548657.696768,4716877.444481,258.783177,173.041693,-0.666069
1454839543.880000,2386330.949512,-3547792.252443,4716874.114466,258.720068,173.136036,-0.665911
1454839548.880000,2387624.392127,-3546926.336462,4716870.785239,258.656925,173.230355,-0.665754
1454839553.880000,2388917.518939,-3546059.948941,4716867.456802,258.593747,173.324652,-0.665596
