t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1460389305.985957,1388432.400664,-5805402.757500,2242109.030433,423.341014,100.826356,-1.089499
1460389395.985957,1426503.041081,-5796203.425807,2242011.046539,422.670190,103.602520,-1.087876
1460389485.985957,1464512.487896,-5786754.439255,2241913.210834,421.981161,106.374222,-1.086206
1460389575.985957,1502459.103984,-5777056.204826,2241815.527533,421.273957,109.141342,-1.084489
1460389665.985957,1540341.254924,-5767109.140239,2241718.000842,420.548607,111.903761,-1.082726
1460389755.985957,1578157.309075,-5756913.673929,2241620.634963,419.805144,114.661361,-1.080915
1460389845.985957,1615905.637641,-5746470.245031,2241523.434089,419.043600,117.414021,-1.079059
1460389935.985957,1653584.614742,-5735779.303358,2241426.402407,418.264006,120.161625,-1.077156
1460390025.985957,1691192.617486,-5724841.309388,2241329.544097,417.466397,122.904053,-1.075206
1460390115.985957,1728728.026038,-5713656.734235,2241232.863330,416.650808,125.641187,-1.073210
1460390205.985957,1766189.223691,-5702226.059638,2241136.364271,415.817272,128.372910,-1.071168
1460390295.985957,1803574.596933,-5690549.777932,2241040.051076,414.965827,131.099103,-1.069080
1460390385.985957,1840882.535517,-5678628.392034,2240943.927894,414.096508,133.819650,-1.066946
1460390475.985957,1878111.432533,-5666462.415416,2240847.998865,413.209354,136.534433,-1.064765
1460390565.985957,1915259.684474,-5654052.372086,2240752.268122,412.304402,139.243335,-1.062539
1460390655.985957,1952325.691310,-5641398.796562,2240656.739786,411.381691,141.946240,-1.060268
1460390745.985957,1989307.856547,-5628502.233856,2240561.417974,410.441262,144.643031,-1.057950
1460390835.985957,2026204.587308,-5615363.239440,2240466.306791,409.483154,147.333592,-1.055587
1460390925.985957,2063014.294394,-5601982.379233,2240371.410334,408.507409,150.017807,-1.053178
1460391015.985957,2099735.392352,-5588360.229569,2240276.732690,407.514069,152.695561,-1.050724
1460391105.985957,2136366.299550,-5574497.377174,2240182.277937,406.503177,155.366738,-1.048225
1460391195.985957,2172905.438236,-5560394.419144,2240088.050143,405.474776,158.031223,-1.045681
1460391285.985957,2209351.234613,-5546051.962914,2239994.053368,404.428911,160.688901,-1.043092
1460391375.985957,2245702.118906,-5531470.626236,2239900.291660,403.365626,163.339658,-1.040457
1460391465.985957,2281956.525424,-5516651.037152,2239806.769058,402.284968,165.983380,-1.037778
1460391555.985957,2318112.892634,-5501593.833963,2239713.489590,401.186983,168.619953,-1.035054
1460391645.985957,2354169.663226,-5486299.665208,2239620.457273,400.071718,171.249263,-1.032286
1460391735.985957,2390125.284179,-5470769.189629,2239527.676116,398.939221,173.871197,-1.029473
1460391825.985957,2425978.206828,-5455003.076148,2239435.150114,397.789542,176.485642,-1.026616
1460391915.985957,2461726.886933,-5439002.003836,2239342.883252,396.622729,179.092485,-1.023714
1460392005.985957,2497369.784743,-5422766.661884,2239250.879506,395.438832,181.691615,-1.020769
1460392095.985957,2532905.365062,-5406297.749573,2239159.142837,394.237904,184.282919,-1.017779
1460392185.985957,2568332.097318,-5389595.976246,2239067.677198,393.019995,186.866286,-1.014746
1460392275.985957,2603648.455628,-5372662.061273,2238976.486527,391.785158,189.441604,-1.011669
1460392365.985957,2638852.918860,-5355496.734024,2238885.574753,390.533447,192.008763,-1.008549
1460392455.985957,2673943.970704,-5338100.733836,2238794.945792,389.264914,194.567651,-1.005384
1460392545.985957,2708920.099735,-5320474.809982,2238704.603547,387.979616,197.118159,-1.002177
1460392635.985957,2743779.799476,-5302619.721639,2238614.551910,386.677606,199.660177,-0.998927
1460392725.985957,2778521.568466,-5284536.237852,2238524.794759,385.358942,202.193595,-0.995633
1460392815.985957,2813143.910323,-5266225.137505,2238435.335961,384.023679,204.718305,-0.992297
1460392905.985957,2847645.333809,-5247687.209285,2238346.179368,382.671876,207.234197,-0.988917
1460392995.985957,2882024.352895,-5228923.251650,2238257.328822,381.303591,209.741163,-0.985496
1460393085.985957,2916279.486823,-5209934.072793,2238168.788148,379.918883,212.239095,-0.982031
1460393175.985957,2950409.260171,-5190720.490606,2238080.561161,378.517810,214.727886,-0.978525
1460393265.985957,2984412.202918,-5171283.332649,2237992.651662,377.100435,217.207428,-0.974976
1460393355.985957,3018286.850503,-5151623.436111,2237905.063436,375.666817,219.677614,-0.971386
1460393445.985957,3052031.743893,-5131741.647772,2237817.800256,374.217019,222.138339,-0.967753
1460393535.985957,3085645.429644,-5111638.823973,2237730.865881,372.751102,224.589496,-0.964079
1460393625.985957,3119126.459962,-5091315.830574,2237644.264056,371.269131,227.030979,-0.960363
