t_gps_s,r_x,r_y,r_z,v_x,v_y,v_z
1461956841.408,4315.149975504823,4258.8244146484485,-4114.074612295318,1.963719666756333,3.806366556183093,6.004996784684408
1461956846.408,4324.913920011816,4277.802300210734,-4083.997507075975,1.941845383315922,3.784754029715259,6.025803202150655
1461956851.408,4334.568367964272,4296.671881475115,-4053.816750135508,1.919921192478796,3.7630449462403703,6.046457385572012
1461956856.408,4344.113071210175,4315.432677020578,-4023.5331039868615,1.8979476485455962,3.74123985118149,6.066958798092401
1461956861.408,4353.547784372678,4334.0842081597675,-3993.1473338172805,1.8759253068374164,3.7193392929093534,6.087306906695176
1461956866.408,4362.872264856045,4352.625998952186,-3962.6602074697444,1.8538547242606,3.697343822120274,6.107501182191754
1461956871.408,4372.086272851779,4371.0575762178905,-3932.072495423426,1.8317364594795436,3.675253991673344,6.127541099252994
1461956876.408,4381.189571346774,4389.3784695486065,-3901.3849707745767,1.8095710716042959,3.6530703578464454,6.147426136422837
1461956881.408,4390.181926129039,4407.588211321484,-3870.59840921694,1.7873591223051335,3.6307934781762015,6.167155776126947
1461956886.408,4399.063105794944,4425.68633671115,-3839.7135890220466,1.7651011725811259,3.60842391470851,6.186729504703635
1461956891.408,4407.832881754014,4443.672383703316,-3808.7312910203927,1.7427977870956965,3.585962229629331,6.206146812399766
1461956896.408,4416.49102823778,4461.545893105247,-3777.6522985812912,1.7204495304158627,3.5634089889563256,6.22540719340077
1461956901.408,4425.03732230492,4479.306408559492,-3746.4773975929843,1.698056968109995,3.5407647614329107,6.244510145842469
1461956906.408,4433.471543847052,4496.953476556258,-3715.2073764433744,1.6756206682775883,3.5180301170003077,6.263455171826536
1461956911.408,4441.79347559553,4514.486646445389,-3683.843025999732,1.6531411989644766,3.4952056292986526,6.2822417774323185
1461956916.408,4450.002903128142,4531.905470447625,-3652.385139589196,1.6306191300936916,3.472291873762515,6.300869472743216
1461956921.408,4458.099614874028,4549.209503668282,-3620.8345129782233,1.6080550326614684,3.44928942835395,6.319337771837581
1461956926.408,4466.083402120651,4566.398304108079,-3589.191944352771,1.5854494788500233,3.4261988734469924,6.337646192836928
1461956931.408,4473.954059019251,4583.471432675343,-3557.458234298379,1.5628030421594303,3.4030207916530344,6.355794257895013
1461956936.408,4481.711382590741,4600.428453198346,-3525.634185779272,1.5401162968546487,3.37975576835197,6.37378149322285
1461956941.408,4489.355172731151,4617.268932436823,-3493.7206041188556,1.517389818742231,3.3564043908791064,6.391607429100986
1461956946.408,4496.885232217738,4633.992440093767,-3461.7182969786895,1.4946241846237172,3.3329672490372104,6.409271599899057
1461956951.408,4504.301366715754,4650.598548825812,-3429.628074338255,1.4718199722947247,3.309444935089232,6.426773544082607
1461956956.408,4511.603384781198,4667.086834257445,-3397.4507484745636,1.448977761322567,3.28583804295522,6.444112804233555
1461956961.408,4518.791097868745,4683.456874990377,-3365.1871339411705,1.42609813101717,3.2621471701422706,6.461288927062014
1461956966.408,4525.864320336258,4699.708252615516,-3332.8380475479626,1.4031816628357774,3.238372915405307,6.478301463421758
1461956971.408,4532.82286944966,4715.840551725034,-3300.404308340061,1.3802289396944616,3.214515879366445,6.495149968316127
1461956976.408,4539.666565389604,4731.853359922103,-3267.886737577214,1.357240543813532,3.1905766665940973,6.511834000931685
1461956981.408,4546.395231254655,4747.746267834082,-3235.2861587128027,1.3342170604364583,3.1665558819331636,6.528353124632758
1461956986.408,4553.008693068428,4763.518869121772,-3202.6033973727917,1.3111590743665147,3.1424541338637937,6.544706906980991
