t_gps,x,y,z,vx,vy,vz
1443543949.0,-147230093.24289936,-24692383.60457829,-10703035.770434305,5.848706416245661,-26.773337628390436,-11.604617230160985
1443543950.0,-147230087.39709255,-24692410.37841469,-10703047.375268426,5.848712216180426,-26.773336632449386,-11.604616797077776
1443543951.0,-147230081.55127993,-24692437.152250104,-10703058.980102113,5.848718016114953,-26.773335636507333,-11.604616363994143
1443543952.0,-147230075.70546153,-24692463.926084526,-10703070.58493537,5.848723816049239,-26.773334640564254,-11.604615930910079
1443543953.0,-147230069.85963735,-24692490.699917957,-10703082.189768193,5.848729615983291,-26.773333644620177,-11.604615497825584
1443543954.0,-147230064.0138074,-24692517.473750386,-10703093.794600585,5.848735415917102,-26.773332648675083,-11.604615064740658
1443543955.0,-147230058.16797155,-24692544.247581817,-10703105.399432538,5.8487412158506755,-26.773331652728984,-11.604614631655304
1443543956.0,-147230052.32212994,-24692571.02141225,-10703117.004264066,5.84874701578401,-26.773330656781887,-11.60461419856952
1443543957.0,-147230046.47628254,-24692597.7952417,-10703128.609095154,5.848752815717104,-26.77332966083377,-11.604613765483307
1443543958.0,-147230040.63042933,-24692624.56907015,-10703140.213925816,5.848758615649961,-26.773328664884637,-11.604613332396665
1443543959.0,-147230034.7845704,-24692651.3428976,-10703151.81875604,5.848764415582579,-26.773327668934503,-11.60461289930959
1443543960.0,-147230028.9387056,-24692678.11672405,-10703163.42358583,5.84877021551496,-26.77332667298335,-11.60461246622209
1443543961.0,-147230023.09283495,-24692704.890549514,-10703175.028415192,5.848776015447102,-26.773325677031195,-11.60461203313416
1443543962.0,-147230017.24695852,-24692731.664373975,-10703186.63324412,5.848781815379004,-26.773324681078037,-11.6046116000458
1443543963.0,-147230011.40107638,-24692758.438197445,-10703198.238072615,5.848787615310668,-26.773323685123856,-11.604611166957007
1443543964.0,-147230005.5551884,-24692785.212019924,-10703209.842900679,5.848793415242095,-26.773322689168673,-11.60461073386779
1443543965.0,-147229999.70929453,-24692811.9858414,-10703221.447728306,5.8487992151732815,-26.773321693212477,-11.604610300778143
1443543966.0,-147229993.86339495,-24692838.75966189,-10703233.0525555,5.84880501510423,-26.77332069725528,-11.60460986768806
1443543967.0,-147229988.01748958,-24692865.533481374,-10703244.657382265,5.84881081503494,-26.77331970129706,-11.604609434597554
1443543968.0,-147229982.17157835,-24692892.307299864,-10703256.26220859,5.848816614965411,-26.77331870533784,-11.604609001506619
1443543969.0,-147229976.32566136,-24692919.08111737,-10703267.86703449,5.848822414895643,-26.773317709377615,-11.604608568415252
1443543970.0,-147229970.47973856,-24692945.854933858,-10703279.471859952,5.848828214825638,-26.773316713416364,-11.604608135323454
1443543971.0,-147229964.63380995,-24692972.62874937,-10703291.076684983,5.848834014755395,-26.773315717454114,-11.604607702231231
1443543972.0,-147229958.78787556,-24692999.402563885,-10703302.681509584,5.848839814684912,-26.773314721490852,-11.604607269138576
