OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2026-05-08T22:47:47.565312,12.98457585,.0029026,90.2444,7.9432,154.6977,205.5573,0,U,270268,999,29158,.30556016E-2,.908E-5,0
UNKNOWN,,2026-05-09T17:25:26.387040,13.30584385,.00846076,82.5818,135.8670,53.6794,307.2110,0,U,270269,999,29852,.39857694E-3,.205E-5,0
UNKNOWN,,2026-05-01T22:38:18.750048,11.85853851,.10639007,83.0927,193.5540,209.1175,144.6334,0,U,270272,999,26739,.80598338E-2,.2687E-4,0
UNKNOWN,,2026-05-09T22:05:26.602656,12.98384069,.00318222,90.2538,11.5276,128.2335,232.1658,0,U,270274,999,29128,-.78840007E-3,-.225E-5,0
UNKNOWN,,2026-05-02T19:38:28.568544,13.93797669,.02946196,86.4383,330.3183,128.1334,234.6793,0,U,270275,999,3711,.4037034E-2,.7641E-4,0
UNKNOWN,,2026-04-23T16:20:09.600288,11.13425994,.08601682,102.2745,259.7475,271.0586,79.2092,0,U,270276,999,24799,.5524931E-1,.3459E-4,0
UNKNOWN,,2026-05-04T05:59:34.418688,14.48245538,.02443672,34.0958,107.0108,77.9594,284.8355,0,U,270278,999,31617,.18390869E-2,.102E-3,0
UNKNOWN,,2026-05-08T22:00:34.219872,12.93733538,.00268988,90.2285,3.0201,279.7255,80.0826,0,U,270279,999,28877,-.3626659E-3,-.93E-6,0
UNKNOWN,,2026-04-26T09:36:22.413888,12.96981021,.00290105,90.2447,6.0825,141.5353,218.7843,0,U,270280,999,28800,-.77971947E-3,-.217E-5,0
UNKNOWN,,2026-05-09T04:05:24.416736,12.25659247,.04826816,82.7515,88.0925,82.9271,282.6417,0,U,270282,999,27576,.3048931E-2,.508E-5,0
UNKNOWN,,2026-05-08T16:49:36.240960,12.96455838,.01880488,82.6994,282.3729,251.8755,106.1798,0,U,270284,999,28630,.18344828E-1,.5702E-4,0
UNKNOWN,,2026-04-27T05:17:43.575936,13.03462035,.01895781,101.8223,105.5345,308.3735,50.0466,0,U,270286,999,3160,.2445056E-2,.789E-5,0
UNKNOWN,,2026-05-04T09:00:46.738944,12.95818914,.00295164,90.2428,5.2410,242.9954,116.8152,0,U,270288,999,28859,-.76341095E-3,-.21E-5,0
UNKNOWN,1987-060Y,2026-05-04T06:41:56.012064,14.36582141,.00183902,65.0127,125.5031,284.2481,75.6563,0,U,270289,999,63048,.32814846E-3,.867E-5,0
UNKNOWN,1987-060Z,2026-05-10T04:55:35.917248,14.34726022,.0015599,65.0073,112.2407,281.7116,78.2220,0,U,270290,999,63001,.13415491E-3,.28E-5,0
UNKNOWN,,2026-05-04T00:33:56.836800,12.50175647,.00179407,73.6007,227.8765,91.5003,268.8101,0,U,270292,999,29352,.53346079E-3,.64E-6,0
UNKNOWN,,2026-05-10T04:30:56.114208,14.55269698,.00057583,98.6883,300.7785,210.1722,149.9143,0,U,270293,999,34134,.24524464E-3,.1013E-4,0
UNKNOWN,,2026-05-10T01:31:50.801952,14.31112908,.00765293,99.1717,66.6140,78.7158,282.2611,0,U,270294,999,33554,.67470904E-3,.1789E-4,0
UNKNOWN,,2026-05-10T04:15:26.060544,14.77692149,.00839916,97.7350,93.5988,314.1354,45.2969,0,U,270295,999,11090,.18836813E-2,.14278E-3,0
UNKNOWN,,2026-05-09T22:38:16.521792,12.98073235,.00299793,90.2429,6.1388,113.0039,247.4249,0,U,270296,999,30457,.20287718E-2,.603E-5,0
UNKNOWN,,2026-05-05T11:13:39.872640,12.99505038,.00424189,90.2763,22.3941,49.3492,311.1305,0,U,270297,999,30417,.35494663E-2,.1072E-4,0
UNKNOWN,,2026-05-07T12:27:06.522336,2.08241298,.73586037,59.9876,189.8663,79.9688,348.7345,0,U,270298,999,1469,.4661227E-2,.1227E-4,0
UNKNOWN,,2026-05-09T23:05:21.710976,12.95972084,.00256643,90.2513,11.1264,279.2636,80.5581,0,U,270299,999,28289,.2066857E-2,.595E-5,0
UNKNOWN,,2026-05-04T07:50:16.014336,14.52476154,.00332115,98.8341,158.2888,156.6743,203.5966,0,U,270300,999,10062,.85438862E-3,.3462E-4,0
UNKNOWN,,2026-05-09T19:19:17.843232,14.50075769,.00125994,98.9177,160.8358,356.5233,3.5869,0,U,270302,999,26814,.88885478E-3,.3402E-4,0
UNKNOWN,,2026-05-08T09:07:29.440704,15.40473889,.00044099,98.6467,168.6653,181.6111,178.5118,0,U,270304,999,27046,.67782775E-2,.284767E-2,0
UNKNOWN,,2026-05-10T05:35:15.112320,14.37874982,.00066249,98.8305,117.0558,215.2264,144.8485,0,U,270305,999,26562,.4365301E-3,.1271E-4,0
UNKNOWN,,2026-05-04T09:54:22.788864,12.92720827,.0030531,90.2483,6.0531,45.1801,315.1791,0,U,270306,999,25896,.3023684E-3,.9E-6,0
UNKNOWN,,2026-05-10T04:13:20.045280,13.67722653,.0056739,82.6971,107.4868,184.6220,175.4416,0,U,270307,999,29718,.36359463E-2,.3123E-4,0
UNKNOWN,,2026-05-08T13:42:43.718112,13.00224931,.023061,82.5630,238.8891,254.6482,102.9044,0,U,270308,999,29203,.21495695E-1,.7358E-4,0
UNKNOWN,,2026-05-09T17:18:45.866016,14.94729925,.00353898,98.4033,122.1022,183.2502,176.8492,0,U,270309,999,28993,.32700964E-3,.3527E-4,0
UNKNOWN,,2026-05-08T21:15:16.368768,13.48601947,.01937823,82.9424,195.2660,209.8278,149.1708,0,U,270310,999,25131,.12584513E-2,.892E-5,0
UNKNOWN,,2026-05-10T05:57:39.309696,14.53781863,.0023005,98.8095,127.7385,84.0099,276.3716,0,U,270311,999,26752,.10715967E-2,.4463E-4,0
UNKNOWN,,2026-05-10T06:07:14.835648,14.18409046,.00307799,98.4522,129.8400,65.4884,294.9496,0,U,270312,999,33369,.18498046E-3,.342E-5,0
UNKNOWN,,2026-05-08T21:55:49.787616,12.95250192,.00260869,90.2520,10.3405,313.7705,46.1256,0,U,270313,999,29998,.57083695E-4,.23E-6,0
UNKNOWN,,2026-05-09T22:40:20.318304,12.94871762,.00302738,90.2491,6.1806,9.5454,350.6234,0,U,270314,999,28767,.21957802E-2,.623E-5,0
UNKNOWN,,2026-04-15T20:57:33.768864,14.11492746,.02717116,97.6595,328.1096,11.3332,349.3798,0,U,270315,999,30143,.5222016E-3,.1303E-4,0
UNKNOWN,,2026-05-07T01:25:49.022688,14.21708917,.00086629,81.2066,252.2498,216.5678,143.4909,0,U,270316,999,28474,.13988043E-2,.3086E-4,0
UNKNOWN,,2026-05-05T09:26:05.559360,12.93377056,.00252912,90.2488,6.4275,20.1947,340.0166,0,U,270317,999,8926,.14762658E-3,.48E-6,0
UNKNOWN,,2026-04-28T17:37:37.786368,12.53896565,.04643941,103.0166,280.4854,77.4598,287.7994,0,U,270319,999,7949,.15167913E-1,.3573E-4,0
UNKNOWN,,2026-05-02T22:50:22.355232,12.99549970,.00286895,90.2434,4.3024,81.8958,278.5417,0,U,270320,999,23875,.20240422E-2,.614E-5,0
UNKNOWN,,2026-05-10T01:59:47.455296,12.92701676,.00321348,90.2480,5.9535,27.8460,332.4369,0,U,270321,999,26112,.48331639E-3,.139E-5,0
UNKNOWN,,2026-05-09T22:15:19.058688,12.93182670,.00322737,90.2454,5.6531,21.6427,338.6047,0,U,270322,999,23716,.44867762E-3,.13E-5,0
UNKNOWN,,2026-05-08T06:47:18.062016,14.46286583,.00405796,81.2852,317.0297,356.5993,3.4916,0,U,270323,999,29853,.58979408E-3,.2148E-4,0
UNKNOWN,,2026-05-10T05:36:16.776000,12.32548442,.06693986,66.0283,327.5427,217.0382,138.2588,0,U,270324,999,26648,.46543582E-3,.66E-6,0
UNKNOWN,,2026-05-09T07:55:46.483104,12.97025102,.00335474,90.2360,355.9730,152.4205,207.8705,0,U,270325,999,26034,.30053009E-3,.95E-6,0
UNKNOWN,,2026-05-09T21:45:21.103200,13.01724781,.00341436,90.2404,3.1373,99.7246,260.7736,0,U,270326,999,28381,-.84600839E-3,-.254E-5,0
UNKNOWN,,2026-05-10T00:07:55.245792,12.95869512,.00267052,90.2982,33.3340,216.8399,143.0887,0,U,270327,999,26129,.13280013E-3,.45E-6,0
UNKNOWN,,2026-05-10T01:28:54.099264,12.95260773,.01969131,63.4598,42.4686,3.2739,356.9500,0,U,270328,999,28183,.94228254E-3,.212E-5,0
UNKNOWN,,2026-05-05T05:19:26.860224,14.37171898,.00019667,86.3922,306.8314,85.8248,274.3174,0,U,270329,999,27555,.17466448E-3,.539E-5,0
UNKNOWN,,2026-05-10T05:19:16.497408,13.42424199,.00370588,100.3132,311.9056,315.3727,44.4419,0,U,270330,999,26739,.21669132E-2,.1182E-4,0
UNKNOWN,,2026-05-09T19:46:25.430880,14.59583680,.00825904,86.4364,160.0572,304.7825,54.5630,0,U,270332,999,2695,.27591321E-2,.13793E-3,0
UNKNOWN,,2026-05-04T02:16:09.077664,14.30528681,.02064762,97.7255,246.1810,207.5852,151.4256,0,U,270333,999,6795,.22841879E-2,.7479E-4,0
UNKNOWN,,2026-05-10T00:14:09.643776,14.17947002,.01788196,86.4506,238.5097,76.8977,285.2099,0,U,270334,999,30264,.16277733E-2,.3919E-4,0
UNKNOWN,,2026-04-26T00:35:56.439456,14.14750118,.00820968,66.6610,219.9936,329.9481,29.6911,0,U,270335,999,25616,.30619317E-3,.527E-5,0
UNKNOWN,,2026-05-08T10:50:28.032576,14.26893568,.00058096,81.2874,41.7936,286.7339,73.3204,0,U,270336,999,25636,.87602685E-3,.2139E-4,0
UNKNOWN,,2026-05-09T21:29:59.132256,13.04795954,.00275591,90.1433,7.1218,211.2242,148.7247,0,U,270337,999,23734,.19742136E-2,.645E-5,0
UNKNOWN,,2026-05-07T03:26:26.438784,13.84282511,.01480318,99.1090,85.1744,142.3533,218.8094,0,U,270338,999,24721,.73127412E-3,.847E-5,0
UNKNOWN,,2026-04-29T12:22:27.890112,12.16151328,.08334366,83.2366,205.5307,331.6477,24.1513,0,U,270339,999,21899,.25496569E-2,.756E-5,0
UNKNOWN,,2026-05-09T21:02:34.224864,13.83938538,.01465719,98.7997,3.0940,84.0194,277.7644,0,U,270340,999,24823,.47518424E-3,.534E-5,0
UNKNOWN,,2026-04-30T00:38:06.620064,12.02345369,.09259106,83.2386,219.3962,135.7746,232.1235,0,U,270341,999,20633,-.29879452E-2,-.872E-5,0
UNKNOWN,,2026-05-07T11:14:26.733408,14.22330162,.00960465,98.6772,36.4233,220.2333,139.1709,0,U,270342,999,24329,.12469623E-2,.2863E-4,0
UNKNOWN,,2026-05-08T21:24:28.161504,12.45875331,.07288193,83.3988,3.4106,10.9892,350.6183,0,U,270343,999,21236,.7869994E-3,.306E-5,0
UNKNOWN,,2026-04-12T17:35:13.140672,13.06688147,.02699045,105.8419,266.1089,266.8212,90.1962,0,U,270344,999,21789,.1654544E-2,.572E-5,0
UNKNOWN,,2026-05-05T12:47:23.105184,12.04148361,.09018047,83.3030,220.6372,315.6165,37.5911,0,U,270345,999,20448,.44437807E-2,.1281E-4,0
UNKNOWN,,2026-05-08T08:24:36.078048,12.98421601,.00305104,90.2338,355.9963,134.3789,225.9839,0,U,270346,999,21319,-.11717173E-2,-.338E-5,0
UNKNOWN,,2026-05-10T00:49:17.359680,13.04838771,.0089627,82.6903,232.2140,35.0984,325.5992,0,U,270347,999,14055,.29277205E-2,.974E-5,0
UNKNOWN,,2026-05-03T15:19:09.355008,13.16108272,.02464763,82.6112,265.9490,292.8914,64.6361,0,U,270348,999,10663,.18753826E-1,.8327E-4,0
UNKNOWN,,2026-05-07T18:33:25.319808,13.21114758,.00265104,82.5462,155.7722,156.5729,203.6610,0,U,270349,999,20049,.52363174E-3,.227E-5,0
UNKNOWN,,2026-05-06T08:41:18.248064,2.10637558,.73297618,60.1444,214.5671,79.2749,348.6936,0,U,270353,999,3026,.37217561E-3,.251E-5,0
UNKNOWN,,2026-05-07T06:39:32.889600,2.04762404,.73824045,60.0719,229.2271,71.4636,350.7146,0,U,270354,999,2981,.59720696E-4,-.785E-5,0
UNKNOWN,,2026-04-12T02:32:55.217760,4.32717857,.5430228,64.7594,38.5938,299.8044,17.2138,0,U,270359,999,5948,-.96870729E-1,-.4282E-4,0
UNKNOWN,,2026-05-10T06:28:16.699872,2.20765558,.72669259,60.1871,185.4824,83.6824,347.1613,0,U,270360,999,1546,.49633029E-2,.1575E-4,0
UNKNOWN,,2026-04-22T08:52:11.401824,2.02101047,.75010284,62.1443,89.4289,50.0352,354.5931,0,U,270365,999,1999,.28670296E-2,.12923E-3,0
UNKNOWN,,2026-05-03T15:55:47.073792,12.94326372,.02714209,82.4998,273.4683,45.4334,316.8588,0,U,270367,999,20320,.42052724E-3,.151E-5,0
UNKNOWN,,2026-05-10T02:16:29.129376,15.04061399,.000577,53.9821,49.5098,232.8835,127.1638,0,U,270368,999,22668,.59000791E-4,.551E-5,0
UNKNOWN,,2026-04-29T23:21:05.586912,14.39053383,.0121279,97.7388,210.2220,196.9567,162.7554,0,U,270370,999,20226,.2806549E-2,.942E-4,0
UNKNOWN,,2026-05-04T12:49:18.602112,8.81349790,.22173493,85.6049,223.8256,2.0322,358.7993,0,U,270371,999,12279,-.5403987E-1,-.1873E-4,0
UNKNOWN,,2026-05-04T07:05:52.026720,12.64586355,.00850088,82.4546,147.5807,223.3496,136.0889,0,U,270372,999,16006,.10931456E-1,.2054E-4,0
UNKNOWN,,2026-05-09T23:02:59.844768,14.06514518,.00664411,98.8522,121.8934,118.8363,241.9496,0,U,270373,999,17708,.13862159E-3,.191E-5,0
